[TICK 1400] running=0 | ready=46 | finished=4
[TICK 1405] running=0 | ready=46 | finished=4
[TICK 1410] running=0 | ready=46 | finished=4
[TICK 1415] running=0 | ready=46 | finished=4
[TICK 1420] running=0 | ready=46 | finished=4
[TICK 1425] running=0 | ready=46 | finished=4
[TICK 1430] running=0 | ready=46 | finished=4
[TICK 1435] running=0 | ready=46 | finished=4
[TICK 1440] running=0 | ready=46 | finished=4
[TICK 1445] running=0 | ready=46 | finished=4
[TICK 1450] running=0 | ready=46 | finished=4
[TICK 1455] running=0 | ready=46 | finished=4
[TICK 1460] running=0 | ready=46 | finished=4
[TICK 1465] running=0 | ready=46 | finished=4
[TICK 1470] running=0 | ready=46 | finished=4
[TICK 1475] running=0 | ready=46 | finished=4
[TICK 1480] running=0 | ready=46 | finished=4
[TICK 1485] running=0 | ready=46 | finished=4
[TICK 1490] running=0 | ready=46 | finished=4
[TICK 1495] running=0 | ready=46 | finished=4
[TICK 1500] running=0 | ready=46 | finished=4
[TICK 1505] running=0 | ready=46 | finished=4
[TICK 1510] running=0 | ready=46 | finished=4
[TICK 1515] running=0 | ready=46 | finished=4
[TICK 1520] running=0 | ready=46 | finished=4
[TICK 1525] running=0 | ready=46 | finished=4
[TICK 1530] running=0 | ready=46 | finished=4
[TICK 1535] running=0 | ready=46 | finished=4
[TICK 1540] running=0 | ready=46 | finished=4
[TICK 1545] running=0 | ready=46 | finished=4
[TICK 1550] running=0 | ready=46 | finished=4
[TICK 1555] running=0 | ready=46 | finished=4
[TICK 1560] running=0 | ready=46 | finished=4
[TICK 1565] running=0 | ready=46 | finished=4
[TICK 1570] running=0 | ready=46 | finished=4
[TICK 1575] running=0 | ready=46 | finished=4
[TICK 1580] running=0 | ready=46 | finished=4
[TICK 1585] running=0 | ready=46 | finished=4
[TICK 1590] running=0 | ready=46 | finished=4
[TICK 1595] running=0 | ready=46 | finished=4
[TICK 1600] running=0 | ready=46 | finished=4
[TICK 1605] running=0 | ready=46 | finished=4
[TICK 1610] running=0 | ready=46 | finished=4
[TICK 1615] running=0 | ready=46 | finished=4
[TICK 1620] running=0 | ready=46 | finished=4
[TICK 1625] running=0 | ready=46 | finished=4
[TICK 1630] running=0 | ready=46 | finished=4
[TICK 1635] running=0 | ready=46 | finished=4
[TICK 1640] running=0 | ready=46 | finished=4
[TICK 1645] running=0 | ready=46 | finished=4
[TICK 1650] running=0 | ready=46 | finished=4
[TICK 1655] running=0 | ready=46 | finished=4
[TICK 1660] running=0 | ready=46 | finished=4
[TICK 1665] running=0 | ready=46 | finished=4
[TICK 1670] running=0 | ready=46 | finished=4
[TICK 1675] running=0 | ready=46 | finished=4
[TICK 1680] running=0 | ready=46 | finished=4
[TICK 1685] running=0 | ready=46 | finished=4
[TICK 1690] running=0 | ready=46 | finished=4
[TICK 1695] running=0 | ready=46 | finished=4
[TICK 1700] running=0 | ready=46 | finished=4
[TICK 1705] running=0 | ready=46 | finished=4
[TICK 1710] running=0 | ready=46 | finished=4
[TICK 1715] running=0 | ready=46 | finished=4
[TICK 1720] running=0 | ready=46 | finished=4
[TICK 1725] running=0 | ready=46 | finished=4
[TICK 1730] running=0 | ready=46 | finished=4
[TICK 1735] running=0 | ready=46 | finished=4
[TICK 1740] running=0 | ready=46 | finished=4
[TICK 1745] running=0 | ready=46 | finished=4
[TICK 1750] running=0 | ready=46 | finished=4
[TICK 1755] running=0 | ready=46 | finished=4
[TICK 1760] running=0 | ready=46 | finished=4
[TICK 1765] running=0 | ready=46 | finished=4
[TICK 1770] running=0 | ready=46 | finished=4
[TICK 1775] running=0 | ready=46 | finished=4
[TICK 1780] running=0 | ready=46 | finished=4
[TICK 1785] running=0 | ready=46 | finished=4
[TICK 1790] running=0 | ready=46 | finished=4
[TICK 1795] running=0 | ready=46 | finished=4
[TICK 1800] running=0 | ready=46 | finished=4
[TICK 1805] running=0 | ready=46 | finished=4
[TICK 1810] running=0 | ready=46 | finished=4
[TICK 1815] running=0 | ready=46 | finished=4
ID:830 Nombre:Rasterizer Prioridad:9 Estado:3 Fecha:27/06/2025 Tiempo:0
[TICK 1820] running=0 | ready=45 | finished=5
[TICK 1825] running=0 | ready=45 | finished=5
[TICK 1830] running=0 | ready=45 | finished=5
[TICK 1835] running=0 | ready=45 | finished=5
[TICK 1840] running=0 | ready=45 | finished=5
[TICK 1845] running=0 | ready=45 | finished=5
ID:906 Nombre:Crypto Prioridad:9 Estado:3 Fecha:25/05/2025 Tiempo:0
[TICK 1850] running=0 | ready=44 | finished=6
[TICK 1855] running=0 | ready=44 | finished=6
[TICK 1860] running=0 | ready=44 | finished=6
[TICK 1865] running=0 | ready=44 | finished=6
[TICK 1870] running=0 | ready=44 | finished=6
[TICK 1875] running=0 | ready=44 | finished=6
[TICK 1880] running=0 | ready=44 | finished=6
[TICK 1885] running=0 | ready=44 | finished=6
[TICK 1890] running=0 | ready=44 | finished=6
[TICK 1895] running=0 | ready=44 | finished=6
[TICK 1900] running=0 | ready=44 | finished=6
[TICK 1905] running=0 | ready=44 | finished=6
[TICK 1910] running=0 | ready=44 | finished=6
[TICK 1915] running=0 | ready=44 | finished=6
[TICK 1920] running=0 | ready=44 | finished=6
[TICK 1925] running=0 | ready=44 | finished=6
[TICK 1930] running=0 | ready=44 | finished=6
[TICK 1935] running=0 | ready=44 | finished=6
[TICK 1940] running=0 | ready=44 | finished=6
[TICK 1945] running=0 | ready=44 | finished=6
[TICK 1950] running=0 | ready=44 | finished=6
[TICK 1955] running=0 | ready=44 | finished=6
[TICK 1960] running=0 | ready=44 | finished=6
[TICK 1965] running=0 | ready=44 | finished=6
[TICK 1970] running=0 | ready=44 | finished=6
[TICK 1975] running=0 | ready=44 | finished=6
[TICK 1980] running=0 | ready=44 | finished=6
[TICK 1985] running=0 | ready=44 | finished=6
[TICK 1990] running=0 | ready=44 | finished=6
[TICK 1995] running=0 | ready=44 | finished=6
[TICK 2000] running=0 | ready=44 | finished=6
[TICK 2005] running=0 | ready=44 | finished=6
